source,target,repository,weight,forks,issues,size,languages
paulirish,leebyron,"babel.github.io",1,0,0,15695,"CSS"
paulirish,kangax,"babel.github.io,browser-perf-runner",2,0,0,15817,"CSS,JavaScript"
paulirish,zpao,"babel.github.io,bootstrap",2,2,0,108850,"CSS"
paulirish,ljharb,"babel.github.io,bootstrap",2,2,0,108850,"CSS"
paulirish,Rich-Harris,"babel.github.io",1,0,0,15695,"CSS"
paulirish,bvaughn,"babel.github.io",1,0,0,15695,"CSS"
paulirish,fdaciuk,"babel.github.io",1,0,0,15695,"CSS"
paulirish,ColinEberhardt,"babel.github.io",1,0,0,15695,"CSS"
paulirish,mixu,"backbone.marionette",14,3,0,1155,"JavaScript"
paulirish,camsong,"backbone.marionette",14,3,0,1155,"JavaScript"
paulirish,latentflip,"backbone.marionette",14,3,0,1155,"JavaScript"
paulirish,brunocasanova,"backbonetutorials",21,4,0,416,"JavaScript"
paulirish,jiyinyiyong,"backbonetutorials",21,4,0,416,"JavaScript"
paulirish,azat-co,"backbonetutorials",21,4,0,416,"JavaScript"
paulirish,michaelliao,"bootstrap",1,2,0,93155,"CSS"
paulirish,fat,"bootstrap",1,2,0,93155,"CSS"
paulirish,liaohuqiu,"bootstrap",1,2,0,93155,"CSS"
paulirish,lepture,"bootstrap",1,2,0,93155,"CSS"
paulirish,spf13,"bootstrap",1,2,0,93155,"CSS"
paulirish,kevinsawicki,"bootstrap",1,2,0,93155,"CSS"
paulirish,mpj,"bootstrap",1,2,0,93155,"CSS"
paulirish,sokra,"bootstrap",1,2,0,93155,"CSS"
paulirish,cowboy,"bootstrap",1,2,0,93155,"CSS"
paulirish,planetoftheweb,"bootstrap",1,2,0,93155,"CSS"
paulirish,jxnblk,"bootstrap",1,2,0,93155,"CSS"
paulirish,hzlzh,"bootstrap",1,2,0,93155,"CSS"
paulirish,gabrielecirulli,"bootstrap",1,2,0,93155,"CSS"
paulirish,stubbornella,"bootstrap",1,2,0,93155,"CSS"
paulirish,alvarotrigo,"bootstrap",1,2,0,93155,"CSS"
paulirish,kartik-v,"bootstrap",1,2,0,93155,"CSS"
paulirish,dhg,"bootstrap",1,2,0,93155,"CSS"
paulirish,btholt,"bootstrap",1,2,0,93155,"CSS"
paulirish,tommy351,"bootstrap",1,2,0,93155,"CSS"
paulirish,sevilayha,"bootstrap",1,2,0,93155,"CSS"
paulirish,rodrigobranas,"bootstrap",1,2,0,93155,"CSS"
paulirish,jhusain,"bootstrap",1,2,0,93155,"CSS"
paulirish,litten,"bootstrap",1,2,0,93155,"CSS"
paulirish,juliangarnier,"bootstrap",1,2,0,93155,"CSS"
paulirish,gavinkwoe,"bootstrap",1,2,0,93155,"CSS"
paulirish,krasimir,"bootstrap",1,2,0,93155,"CSS"
paulirish,mojombo,"bower",3,1,0,3548,"JavaScript"
paulirish,rakyll,"bower",3,1,0,3548,"JavaScript"
paulirish,NARKOZ,"bower",3,1,0,3548,"JavaScript"
paulirish,ryanflorence,"bower",3,1,0,3548,"JavaScript"
paulirish,tylermcginnis,"bower",3,1,0,3548,"JavaScript"
paulirish,davatron5000,"break-on-access",827,71,5,118,"JavaScript"
paulirish,TooTallNate,"browser-repl",1,0,0,39,"JavaScript"
sindresorhus,windiest,"-",54,0,19,0,"null"
sindresorhus,mrmrs,"-",54,0,19,0,"null"
kennethreitz,TooTallNate,"args",207,20,6,22,"Python"
kennethreitz,nvie,"autoenv",4029,185,22,103,"Shell"
